题目 ID,题型,地区,题干,选项 A,选项 B,选项 C,选项 D,正确答案,解析,难度等级
13,单选,长三角共同,流行于江苏南部、上海、浙江西部，以丝竹乐器演奏为主的传统音乐形式是？,广东音乐,江南丝竹,河北吹歌,南音,B,江南丝竹是长三角共同的国家级非遗，乐器以二胡、笛子、琵琶等为主，曲风清新流畅,简单
14,单选,浙江,流传于浙江象山、舟山一带，与渔民劳动生活紧密相关的传统音乐是？,嵊泗渔歌,客家山歌,陕北信天游,蒙古长调,A,嵊泗渔歌是浙江省级非遗，演唱内容可即兴编词，反映渔民的生产生活和海洋文化,中等
15,单选,安徽,流传于安徽凤阳，以质朴欢快为特色的传统歌种是？,凤阳民歌,徽州民歌,大别山民歌,巢湖民歌,A,凤阳民歌是安徽国家级非遗，流行于滁州市凤阳县，曲调活泼，具有浓郁的乡土气息,简单
16,单选,江苏,起源于江苏无锡，以二胡演奏为核心的传统音乐形式是？,无锡二胡艺术,扬州清曲,泰州道情,盐城民歌,A,无锡二胡艺术是江苏省级非遗，融合了江南文化特色，演奏技巧细腻，表现力丰富,中等
17,单选,上海,被列入第三批国家级非遗，融入舞蹈、戏曲、武术元素的上海传统舞龙项目是？,三林舞龙,叶榭舞草龙,吕巷小白龙,龙华舞龙,A,三林舞龙以 “浦东绕龙灯” 为名，动作涵盖八字舞龙、游龙、穿腾等，观赏性极强,中等
18,单选,浙江,有 800 多年历史，被列入国家首批非遗的浙江奉化传统舞龙项目是？,汾口草龙,奉化布龙,乐清龙档,长兴百叶龙,B,奉化布龙是浙江国家级非遗，源于先民对龙的崇敬，舞姿优美，感染力强，除夕至元宵期间表演,简单
19,单选,江苏,龙身长近百米，号称 “江南第一龙” 的江苏溧水传统舞龙项目是？,栖霞龙舞,丁伙龙舞,骆山大龙,江阴舞龙,C,骆山大龙是江苏国家级非遗，明代万历年间已有习俗，春节期间表演，期盼风调雨顺,中等
20,单选,安徽,以板凳首尾相连为龙身，被列入第五批国家级非遗的安徽传统舞蹈是？,手龙舞,徽州板凳龙,草龙舞,二龙戏蛛,B,徽州板凳龙流传于徽州地区，元宵、中秋期间表演，红灯笼寓意 “人丁兴旺”，场面浩大,中等
21,单选,上海,上海嘉定徐行镇的传统手工艺品，以编织精致、实用性强著称的非遗项目是？,徐行草编,顾绣,木雕,竹刻,A,徐行草编是上海国家级非遗，历史悠久，最初用于编织生活用品，后发展出装饰类作品,简单
22,单选,江苏,江苏无锡惠山的传统民间美术，以造型夸张、色彩鲜艳为特色的是？,惠山泥人,苏州桃花坞年画,扬州剪纸,常州梳篦,A,惠山泥人是江苏国家级非遗，分为 “粗货”（吉祥寓意作品）和 “细货”（精细手工艺品）两类,简单
23,单选,浙江,浙江杭州的传统民间美术，以 “刀味纸感” 为特色的剪纸艺术是？,乐清细纹刻纸,杭州剪纸,金华剪纸,宁波剪纸,B,杭州剪纸是浙江省级非遗，风格简洁明快，题材涵盖民俗、花鸟等，体现江南文化韵味,中等
24,单选,安徽,安徽黄山的传统民间美术，以黑白分明、线条流畅为特色的版画艺术是？,徽州版画,黄山剪纸,徽派木雕,歙县砖雕,A,徽州版画是安徽国家级非遗，明清时期盛极一时，题材包括戏曲、山水、人物等，印刷技艺精湛,中等
25,单选,上海,上海龙华地区每年农历三月三举行的传统民俗活动是？,龙华庙会,端午龙舟赛,中秋赏月会,春节庙会,A,龙华庙会是上海国家级非遗，历史悠久，集宗教文化、民俗表演、商贸活动于一体,简单
26,单选,江苏,江苏无锡的传统民俗活动，集吃、住、行、游、娱、购于一体的是？,惠山庙会,周庄水乡婚礼,苏州端午习俗,扬州烟花三月节,A,惠山庙会是江苏省级非遗，是江南地区最大的民俗节庆，深受当地民众喜爱,中等
27,单选,浙江,浙江舟山群岛东沙古镇的传统民俗，与渔业生产紧密相关的是？,海盐晒制习俗,渔网编织习俗,鱼类传统加工习俗,祭海祈佑习俗,D,祭海祈佑习俗是浙江市级非遗，渔民通过祭祀活动祈求出海平安、渔业丰收,中等
28,单选,安徽,安徽定远县能仁乡的传统民间舞蹈，以 “二龙戏蛛” 为特色的是？,耍龙灯,舞狮,踩高跷,划旱船,A,“二龙戏蛛” 又名耍龙灯，是安徽省级非遗，已有千年历史，表达了民众对平安丰收的祈愿,困难
29,单选,安徽,中医 “四诊法” 中，除了望、闻、问，还有哪一诊？,切诊,触诊,叩诊,听诊,A,中医 “四诊法” 是安徽传统医药类非遗相关技艺，望、闻、问、切共同构成中医诊断疾病的基本方法,简单
30,单选,江苏,被誉为 “江南第一风流才子” 唐伯虎参与创作的江苏苏州传统年画是？,杨柳青年画,桃花坞年画,杨家埠年画,朱仙镇年画,B,桃花坞年画是江苏苏州国家级非遗，起源于宋代，唐伯虎等文人画家曾参与创作，题材丰富,中等
31,单选,上海,上海浦东的传统农家菜制作技艺，包含扣三丝、扣白斩鸡等八道热菜的是？,浦东家宴老八样,本帮菜制作技艺,农家菜烹饪技艺,沪上小菜制作技艺,A,浦东家宴老八样制作技艺是上海闵行区非遗，属于 “上海本帮农家菜制作技艺” 项目，体现上海乡土风味,中等
32,单选,浙江,浙江龙泉青瓷烧制技艺中，以 “粉青”“梅子青” 为代表的是？,哥窑,弟窑,汝窑,官窑,B,龙泉青瓷弟窑以釉色纯正著称，“粉青”“梅子青” 是其经典釉色，哥窑则以开片纹为特色,中等
33,单选,安徽,安徽宣城的传统戏曲剧种，又名 “挑香担”，用当地方言演唱的是？,徽剧,庐剧,皖南花鼓戏,池州傩戏,C,皖南花鼓戏 2008 年入选第二批国家级非遗，题材源于农村生活，曲调活泼流畅，地方特色浓郁,中等
34,单选,上海,上海的传统戏曲剧种，起源于江苏盐城、阜宁一带，流行于长三角地区的是？,沪剧,淮剧,越剧,锡剧,B,淮剧又名江淮戏，是上海国家级非遗，流行于江苏、上海、安徽部分地区，唱腔质朴明快,中等
35,单选,江苏,江苏扬州的传统戏曲剧种，以 “刚柔相济、雅俗共赏” 为特色的是？,扬剧,锡剧,淮剧,昆剧,A,扬剧是江苏国家级非遗，由扬州花鼓戏和苏北香火戏融合发展而来，体现江淮文化特色,中等
36,单选,浙江,浙江金华的传统戏曲剧种，以 “文武兼备、粗犷豪放” 为特色的是？,越剧,婺剧,绍剧,甬剧,B,婺剧是浙江国家级非遗，历史悠久，融合了多种戏曲声腔，表演风格刚劲有力,困难
37,单选,安徽,安徽合肥的传统戏曲剧种，原名 “倒七戏” 的是？,徽剧,庐剧,皖南花鼓戏,泗州戏,B,庐剧是安徽国家级非遗，流行于安徽中南部，唱腔清新朴实，贴近民间生活,中等
38,单选,上海,上海港码头工人在劳动中传唱的传统劳动歌曲是？,码头号子,渔歌,山歌,小调,A,上海港码头号子是上海国家级非遗，是码头工人劳动时协调动作、抒发情感的歌曲,简单
39,单选,江苏,江苏扬州的传统曲艺形式，以 “说、噱、弹、唱” 为特色的是？,扬州评话,扬州清曲,苏州评弹,泰州道情,B,扬州清曲是江苏国家级非遗，原名 “广陵清曲”，曲调优美，题材广泛,中等
40,单选,浙江,浙江嵊州的传统器乐吹打形式，对越剧唱腔有重要影响的是？,嵊州吹打,宁波走书,金华道情,温州鼓词,A,嵊州吹打是浙江省级非遗，分东乡、西乡两大派系，风格多样，对越剧发展影响深远,中等
41,单选,安徽,安徽绩溪县的传统民间舞蹈，由儿童表演的群舞是？,手龙舞,草龙舞,板凳龙舞,二龙戏蛛,A,手龙舞是安徽国家级非遗，原名小龙舞，道具精致，形式活泼，充满童真童趣,简单
42,单选,上海,上海金山区吕巷镇的传统民俗活动，祭拜小白龙神的是？,吕巷小白龙信俗,叶榭舞草龙,三林舞龙,龙华舞龙,A,吕巷小白龙信俗是上海国家级非遗，每年农历三月三举行，白龙以竹为骨、白布为衣,中等
43,单选,浙江,浙江遂昌县汾口镇的传统舞龙项目，以稻草为原料的是？,奉化布龙,汾口草龙,乐清龙档,长兴百叶龙,B,汾口草龙是浙江省级非遗，明嘉靖年间已有习俗，中秋节夜巡游，祈求平安丰收,中等
44,单选,江苏,江苏南京市栖霞区的传统舞龙项目，龙体中空置灯的是？,骆山大龙,栖霞龙舞,丁伙龙舞,江阴舞龙,B,栖霞龙舞是江苏省级非遗，有 1700 多年历史，龙身为柴龙，夜间舞动通体透亮,简单
45,单选,安徽,安徽绩溪县扬溪镇的传统舞龙项目，以稻草为原料的是？,草龙舞,手龙舞,板凳龙舞,二龙戏蛛,A,绩溪草龙舞是安徽省级非遗，流传于石门村，原料易得，表演风格质朴,中等
46,单选,江苏,江苏苏州的传统民间美术，与天津杨柳青年画并称 “南桃北柳” 的是？,惠山泥人,桃花坞年画,苏州剪纸,常州梳篦,B,桃花坞年画是江苏国家级非遗，起源于宋代，以木版印刷为主，题材包括民俗、戏曲、花鸟等,简单
47,单选,浙江,浙江乐清的传统民间美术，以 “细如发丝” 的刻纸技艺闻名的是？,杭州剪纸,乐清细纹刻纸,金华剪纸,宁波剪纸,B,乐清细纹刻纸是浙江国家级非遗，刀法细腻，图案精美，被誉为 “中国剪纸的明珠”,中等
48,单选,安徽,安徽黄山的传统民间美术，以 “精雕细琢、意境深远” 为特色的是？,徽派木雕,徽州版画,黄山剪纸,歙县砖雕,A,徽派木雕是安徽国家级非遗，广泛应用于古建筑和家具，题材包括山水、人物、花鸟等,中等
49,单选,江苏,江苏东台的传统民俗，由董永传说改编的沉浸夜游项目是？,《寻仙缘》,《天仙配》,《牛郎织女》,《白蛇传》,A,董永传说是江苏丹阳国家级非遗，《寻仙缘》沉浸夜游基于该传说改编，展现地方文化,中等
50,单选,浙江,浙江江山廿八都镇的传统戏曲形式，属于提线木偶戏的是？,廿八都木偶戏,越剧,婺剧,绍剧,A,廿八都木偶戏是浙江省级非遗，木偶造型精巧，形神兼备，表演技艺精湛,中等
51,单选,安徽,安徽西津渡古镇的传统民俗，包含恒顺香醋、锅盖面等非遗项目的是？,西津渡非遗市集,徽州庙会,黄山民俗节,九华山祈福活动,A,西津渡古镇进驻多项国家级、省级非遗，非遗市集是展示和传承这些项目的重要平台,简单
52,单选,安徽,被誉为 “金不换”，具有止血、散瘀、消肿、定痛功效的安徽中药是？,三七,当归,黄芪,党参,A,三七是安徽传统医药中的珍贵药材，李时珍《本草纲目》称其为 “金不换”，需生长 3-7 年方可入药,中等
53,单选,上海,上海的传统印染技艺，以 “蓝白相间、图案素雅” 为特色的是？,蓝夹缬技艺,蜡染技艺,扎染技艺,蓝印花布技艺,D,上海蓝印花布技艺是上海市级非遗，采用漏版印花工艺，图案多为花卉、动物等吉祥纹样,中等
54,单选,江苏,江苏常州的传统手工艺品，以 “梳篦世家、宫廷贡品” 著称的是？,常州梳篦,苏州檀香扇,扬州漆器,无锡泥人,A,常州梳篦是江苏国家级非遗，历史悠久，制作工艺复杂，兼具实用性和观赏性,简单
55,单选,浙江,浙江宁波的传统技艺，以 “修旧如旧” 为原则修复古籍善本的是？,天一阁古籍修复技艺,宁波骨木镶嵌技艺,宁波金银彩绣技艺,宁波朱金漆木雕技艺,A,天一阁古籍修复技艺是浙江省级非遗，天一阁是中国现存最早的私家藏书楼，修复技艺精湛,中等
56,单选,安徽,安徽芜湖的传统手工艺品，以 “铁画银钩、虚实相生” 为特色的是？,芜湖铁画,徽州砖雕,歙县石雕,安庆竹编,A,芜湖铁画是安徽国家级非遗，以铁为墨、以锤为笔，将绘画与铁艺结合，风格独特,中等
57,单选,浙江,浙江宁波的传统戏曲剧种，原名 “串客戏” 的是？,甬剧,绍剧,婺剧,越剧,A,甬剧是浙江国家级非遗，流行于宁波、舟山一带，题材贴近生活，语言通俗,中等
58,单选,江苏,江苏无锡的传统戏曲剧种，原名 “滩簧” 的是？,锡剧,扬剧,淮剧,昆剧,A,锡剧是江苏国家级非遗，流行于无锡、常州一带，唱腔委婉动听，富有江南水乡气息,简单
59,单选,安徽,安徽蚌埠的传统戏曲剧种，以 “歌舞并重、欢快活泼” 为特色的是？,泗州戏,徽剧,庐剧,皖南花鼓戏,A,泗州戏是安徽国家级非遗，流行于安徽北部，表演风格质朴明快，深受群众喜爱,中等
60,单选,长三角共同,长三角地区的传统音乐形式，以 “清新秀丽、典雅流畅” 为特色的是？,江南丝竹,广东音乐,河北吹歌,陕北信天游,A,江南丝竹是长三角共同的国家级非遗，常用乐器有二胡、笛子、琵琶、扬琴等,简单
61,单选,上海,上海的传统曲艺形式，起源于南汇，又名 “神鼓书” 的是？,锣鼓书,苏州评弹,扬州评话,泰州道情,A,锣鼓书是上海国家级非遗，起源于上海市南汇（今属浦东新区），以锣鼓伴奏,中等
62,单选,江苏,江苏泰州的传统曲艺形式，以 “说唱结合、通俗易懂” 为特色的是？,泰州道情,扬州清曲,苏州评弹,扬州评话,A,泰州道情是江苏省级非遗，历史悠久，题材多为民间故事和劝善惩恶内容,中等
63,单选,浙江,浙江温州的传统曲艺形式，以 “鼓词演唱、情节生动” 为特色的是？,温州鼓词,宁波走书,金华道情,嵊州吹打,A,温州鼓词是浙江国家级非遗，流行于温州及周边地区，演唱形式以一人多角为主,中等
64,单选,浙江,浙江长兴的传统舞龙项目，以荷花灯连缀龙身的是？,长兴百叶龙,奉化布龙,汾口草龙,乐清龙档,A,长兴百叶龙是浙江国家级非遗，龙身由荷花灯连缀而成，表演时宛如龙在花丛中穿梭,中等
65,单选,江苏,江苏江都区丁伙镇的传统舞龙项目，有草龙、花树龙、布龙三种形式的是？,丁伙龙舞,栖霞龙舞,骆山大龙,江阴舞龙,A,丁伙龙舞是江苏省级非遗，融武术、舞蹈、鼓乐于一体，动作优美，工艺精致,简单
66,单选,安徽,安徽滁州市定远县的传统民间舞蹈，以 “二龙戏蛛” 为核心的是？,二龙戏蛛,手龙舞,草龙舞,板凳龙舞,A,二龙戏蛛是安徽省级非遗，已有千年历史，是定远县独有的民间舞蹈,中等
67,单选,上海,上海的传统手工艺品，以 “檀香为料、香气浓郁” 著称的是？,檀香扇制作技艺,徐行草编,顾绣,竹刻,A,檀香扇制作技艺是上海国家级非遗，采用檀香木为原料，制作工艺复杂，兼具实用与收藏价值,中等
68,单选,江苏,江苏扬州的传统手工艺品，以 “髹漆技艺、图案精美” 著称的是？,扬州漆器,常州梳篦,苏州檀香扇,无锡泥人,A,扬州漆器是江苏国家级非遗，历史悠久，工艺多样，包括雕漆、嵌漆等,简单
69,单选,浙江,浙江杭州的传统手工艺品，以 “丝织技艺、色彩绚丽” 著称的是？,杭州织锦,宁波金银彩绣,温州瓯绣,绍兴刺绣,A,杭州织锦是浙江省级非遗，采用桑蚕丝为原料，图案精美，色彩鲜艳,中等
70,单选,上海,上海宝山区罗店镇的传统民俗活动，在端午节举行的是？,罗店龙船习俗,龙华庙会,中秋赏月会,春节庙会,A,罗店龙船习俗是上海国家级非遗，2007 年入选 “国遗” 名录，是端午节重要的民俗活动,简单
71,单选,江苏,江苏镇江市西津渡的传统民俗，包含锅盖面、香醋等非遗体验的是？,西津渡民俗节,惠山庙会,周庄水乡婚礼,苏州端午习俗,A,西津渡民俗节集中展示镇江的非遗项目，包括恒顺香醋酿制技艺、锅盖面制作技艺等,中等
72,单选,浙江,浙江舟山市东沙古镇的传统民俗，与海盐生产相关的是？,海盐晒制技艺,渔网编织技艺,鱼类传统加工技艺,祭海祈佑习俗,A,东沙海盐晒制技艺是浙江省级非遗，是海岛古渔镇独特的生产民俗,中等
73,单选,安徽,安徽黄山市右龙村的传统民俗，在元宵、中秋举行的是？,板凳龙舞,徽州庙会,黄山民俗节,九华山祈福活动,A,徽州板凳龙舞在元宵、中秋举行，村民通过舞龙祈求风调雨顺、人丁兴旺,简单
74,单选,安徽,唐代医家孙思邈所著，被誉为 “中国最早的临床百科全书” 的是？,《千金要方》,《本草纲目》,《神农本草经》,《证类本草》,A,孙思邈是唐代著名医家，《千金要方》是其代表作，包含大量医药方剂和养生理念,中等
75,单选,江苏,江苏的传统医药技艺，以 “针灸疗法” 为核心的是？,苏州针灸,南京针灸,扬州针灸,无锡针灸,A,苏州针灸是江苏省级非遗，传承了中医针灸的精髓，针法细腻，疗效显著,中等
76,单选,浙江,浙江绍兴的传统技艺，以 “黄酒酿造” 为核心的是？,绍兴黄酒酿造技艺,金华黄酒酿造技艺,宁波黄酒酿造技艺,温州黄酒酿造技艺,A,绍兴黄酒酿造技艺是浙江国家级非遗，采用传统手工工艺，酒体醇厚，香气浓郁,简单
77,单选,安徽,安徽安庆的传统技艺，以 “竹编工艺” 为核心的是？,安庆竹编,徽州竹编,黄山竹编,池州竹编,A,安庆竹编是安徽省级非遗，工艺精湛，产品包括生活用品和装饰工艺品,中等
78,单选,上海,上海的传统戏曲剧种，以 “委婉细腻、清新秀丽” 为特色的是？,沪剧,越剧,淮剧,锡剧,A,沪剧是上海国家级非遗，起源于上海浦东，题材多反映现代生活，唱腔委婉动听,简单
79,单选,安徽,安徽大别山地区的传统音乐形式，以 “高亢嘹亮” 为特色的是？,大别山民歌,徽州民歌,巢湖民歌,凤阳民歌,A,大别山民歌是安徽省级非遗，流行于大别山地区，曲调高亢，充满生活气息,中等
80,单选,安徽,安徽歙县的传统手工艺品，以 “砖雕技艺” 为核心的是？,歙县砖雕,徽州木雕,黄山石雕,安庆竹雕,A,歙县砖雕是安徽国家级非遗，是徽派三雕之一，广泛应用于古建筑装饰,中等
81,多选,长三角共同,以下属于长三角地区国家级非遗项目的传统技艺有？,宜兴紫砂陶制作技艺,宣纸制作技艺,顾绣,龙泉青瓷烧制技艺,ABCD,宜兴紫砂陶（江苏）、宣纸（安徽）、顾绣（上海）、龙泉青瓷（浙江）均为长三角国家级非遗传统技艺,中等
82,多选,江苏,以下属于昆曲经典剧目的有？,《牡丹亭》,《长生殿》,《桃花扇》,《天仙配》,ABC,《牡丹亭》《长生殿》《桃花扇》均为昆曲经典；《天仙配》是黄梅戏经典剧目,中等
83,多选,上海,以下属于上海国家级非遗的传统舞龙项目有？,三林舞龙,叶榭舞草龙,吕巷小白龙信俗,龙华舞龙,ABC,三林舞龙、叶榭舞草龙、吕巷小白龙信俗均为上海国家级非遗；龙华舞龙为市级非遗,中等
84,多选,江苏,以下属于江苏国家级非遗的传统民间美术有？,惠山泥人,桃花坞年画,常州梳篦,扬州漆器,ABCD,四项均为江苏国家级非遗，分别代表了泥塑、年画、梳篦、漆器四大传统工艺类别,简单
85,多选,浙江,以下属于浙江省级及以上非遗的民俗项目有？,廿八都木偶戏,汾口草龙,祭海祈佑习俗,海盐晒制技艺,ABCD,廿八都木偶戏（省级）、汾口草龙（省级）、祭海祈佑习俗（市级）、海盐晒制技艺（省级）均为浙江非遗,中等
86,多选,安徽,以下属于安徽传统医药类非遗相关的技艺或药材有？,中医四诊法,三七,宣纸制作技艺,芜湖铁画,AB,中医四诊法、三七与传统医药相关；宣纸、芜湖铁画属于传统技艺类非遗,中等
87,多选,上海,以下属于上海本帮特色的非遗制作技艺有？,南翔小笼馒头制作技艺,浦东家宴老八样制作技艺,蓝印花布技艺,紫砂陶制作技艺,ABC,前三项均为上海本帮非遗技艺；紫砂陶制作技艺属于江苏宜兴,简单
88,多选,浙江,以下属于浙江国家级非遗的戏曲剧种有？,越剧,婺剧,甬剧,绍剧,ABCD,四项均为浙江国家级非遗戏曲剧种，各具地方特色，流行于不同区域,中等
89,多选,长三角共同,以下属于长三角地区传统音乐类非遗的有？,江南丝竹,嵊泗渔歌,凤阳民歌,广东音乐,ABC,江南丝竹（长三角共同）、嵊泗渔歌（浙江）、凤阳民歌（安徽）均为长三角音乐类非遗；广东音乐属广东,中等
90,多选,江苏,以下属于江苏省级及以上非遗的舞龙项目有？,骆山大龙,栖霞龙舞,丁伙龙舞,三林舞龙,ABC,骆山大龙（国家级）、栖霞龙舞（省级）、丁伙龙舞（省级）均为江苏舞龙非遗；三林舞龙属上海,简单
91,多选,安徽,以下属于安徽国家级非遗的传统技艺有？,宣纸制作技艺,歙砚制作技艺,芜湖铁画,安庆竹编,ABC,宣纸、歙砚、芜湖铁画为国家级非遗；安庆竹编为省级非遗,中等
92,多选,安徽,以下属于安徽国家级非遗的戏曲剧种有？,池州傩戏,皖南花鼓戏,庐剧,泗州戏,ABCD,四项均为安徽国家级非遗戏曲剧种，承载着江淮地区的文化记忆,中等
93,多选,浙江,以下属于浙江国家级非遗的传统民间美术有？,乐清细纹刻纸,杭州剪纸,徽派木雕,宁波金银彩绣,ABD,乐清细纹刻纸、杭州剪纸、宁波金银彩绣为浙江国家级非遗；徽派木雕属安徽,中等
94,多选,江苏,以下属于江苏省级及以上非遗的民俗项目有？,惠山庙会,罗店龙船习俗,董永传说,西津渡民俗节,ACD,惠山庙会（省级）、董永传说（国家级）、西津渡民俗节（市级）为江苏民俗非遗；罗店龙船习俗属上海,中等
95,多选,上海,以下属于上海国家级非遗的传统音乐类项目有？,上海港码头号子,江南丝竹,锣鼓书,嵊州吹打,ABC,上海港码头号子、江南丝竹、锣鼓书为上海音乐类非遗；嵊州吹打属浙江,简单
96,多选,安徽,以下属于安徽省级及以上非遗的传统舞蹈有？,徽州板凳龙,手龙舞,草龙舞,二龙戏蛛,ABCD,四项均为安徽传统舞蹈类非遗，其中徽州板凳龙、手龙舞为国家级，草龙舞、二龙戏蛛为省级,中等
97,多选,浙江,以下属于浙江国家级非遗的传统酿造技艺有？,绍兴黄酒酿造技艺,宁波黄酒酿造技艺,金华火腿腌制技艺,恒顺香醋酿制技艺,AC,绍兴黄酒、金华火腿为浙江国家级非遗；宁波黄酒为市级非遗，恒顺香醋（江苏镇江）为江苏非遗,中等
98,多选,上海,以下属于上海国家级非遗的戏曲 / 曲艺项目有？,沪剧,滑稽戏,淮剧,苏州评弹,ABC,沪剧、滑稽戏、淮剧均为上海国家级非遗；苏州评弹是江苏、上海共同非遗，此处归为上海可选项目,中等
99,多选,安徽,以下属于安徽国家级非遗的民间音乐有？,凤阳民歌,徽州民歌,大别山民歌,巢湖民歌,ABD,凤阳民歌、徽州民歌、巢湖民歌为安徽国家级非遗；大别山民歌为省级非遗,中等
100,多选,浙江,以下属于浙江国家级非遗的舞龙 / 木偶项目有？,奉化布龙,长兴百叶龙,廿八都木偶戏,乐清龙档,ABD,奉化布龙、长兴百叶龙、乐清龙档为浙江国家级非遗；廿八都木偶戏为省级非遗,中等
101,多选,安徽,以下属于 “徽州三雕” 范畴的安徽国家级非遗项目有？,徽派木雕,徽州石雕,歙县砖雕,芜湖铁画,ABC,徽派木雕、徽州石雕、歙县砖雕合称 “徽州三雕”，均为国家级非遗；芜湖铁画是独立铁艺非遗,简单
102,多选,上海,以下属于上海国家级非遗的民俗活动有？,龙华庙会,罗店龙船习俗,三林圣堂庙会,豫园灯会,ABC,龙华庙会、罗店龙船、三林圣堂庙会为上海国家级非遗；豫园灯会为市级非遗,简单
103,多选,江苏,以下属于江苏省级及以上非遗的传统医药技艺有？,苏州针灸,孟河医派疗法,吴门医派疗法,尤氏皮肤科疗法,ABCD,四项均为江苏传统医药非遗，其中孟河医派、吴门医派为省级，苏州针灸、尤氏皮肤科为市级,困难
104,多选,江苏,以下属于江苏国家级非遗的传统手工技艺有？,常州梳篦,扬州漆器,苏州檀香扇制作技艺,宜兴紫砂陶制作技艺,ABCD,四项均为江苏国家级非遗，分别代表梳篦、漆器、制扇、制陶四大工艺类别,简单
105,多选,安徽,以下属于安徽国家级非遗的戏曲剧种有？,池州傩戏,徽剧,庐剧,泗州戏,ABCD,四项均为安徽国家级非遗，覆盖皖南、皖中、皖北不同区域戏曲特色,中等
106,多选,长三角共同,以下属于江南丝竹常用乐器的有？,二胡,琵琶,笛子,唢呐,ABC,二胡、琵琶、笛子是江南丝竹核心乐器；唢呐音色高亢，多用于北方鼓吹乐，不属江南丝竹,简单
107,多选,江苏,以下属于江苏国家级非遗的舞龙项目有？,骆山大龙,栖霞龙舞,丁伙龙舞,江阴舞龙,A,仅骆山大龙为江苏国家级非遗；栖霞龙舞、丁伙龙舞为省级，江阴舞龙为市级,中等
